Bubble

A,w,eww,D,clickTime,currentNumberOfErrors
307.20000000000005,25.6,3,1,0.9939999580383301,1
409.6,25.6,3,1,1.0499999523162842,1
307.20000000000005,25.6,3,1,0.7580001354217529,1
204.8,25.6,3,1,0.8259999752044678,1
204.8,25.6,3,1,0.8680000305175781,1
204.8,25.6,3,1,0.6840000152587891,1
409.6,25.6,3,1,1.0759999752044678,1
307.20000000000005,25.6,3,1,0.8139998912811279,1
409.6,25.6,3,1,0.9149999618530273,1
307.20000000000005,25.6,3,0.5,0.8270001411437988,1
204.8,25.6,3,0.5,0.7159998416900635,1
307.20000000000005,25.6,3,0.5,0.8970000743865967,1
409.6,25.6,3,0.5,0.7410001754760742,1
307.20000000000005,25.6,3,0.5,0.7089998722076416,1
204.8,25.6,3,0.5,0.6610000133514404,1
409.6,25.6,3,0.5,0.877000093460083,1
409.6,25.6,3,0.5,0.8039999008178711,1
204.8,25.6,3,0.5,0.750999927520752,1
409.6,25.6,3,0,1.1490001678466797,1
204.8,25.6,3,0,0.9919998645782471,1
204.8,25.6,3,0,1.2139999866485596,1
409.6,25.6,3,0,0.9980001449584961,1
409.6,25.6,3,0,1.0469999313354492,1
307.20000000000005,25.6,3,0,0.7009999752044678,1
204.8,25.6,3,0,0.8269999027252197,1
307.20000000000005,25.6,3,0,0.9480001926422119,1
307.20000000000005,25.6,3,0,0.8589999675750732,1
409.6,25.6,2,1,1.060999870300293,1
204.8,25.6,2,1,1.0290000438690186,1
307.20000000000005,25.6,2,1,0.9579999446868896,1
307.20000000000005,25.6,2,1,0.7580001354217529,1
307.20000000000005,25.6,2,1,0.7590000629425049,1
204.8,25.6,2,1,0.8219997882843018,1
409.6,25.6,2,1,1.068000078201294,1
409.6,25.6,2,1,0.934999942779541,1
204.8,25.6,2,1,0.9150002002716064,1
409.6,25.6,2,0.5,0.9679999351501465,1
409.6,25.6,2,0.5,0.7560000419616699,1
204.8,25.6,2,0.5,1.0739998817443848,1
307.20000000000005,25.6,2,0.5,0.9040000438690186,1
409.6,25.6,2,0.5,1.0130000114440918,1
307.20000000000005,25.6,2,0.5,0.7969999313354492,1
204.8,25.6,2,0.5,1.008000135421753,1
204.8,25.6,2,0.5,0.8819999694824219,1
307.20000000000005,25.6,2,0.5,0.9679999351501465,1
204.8,25.6,2,0,1.2339999675750732,1
204.8,25.6,2,0,0.9280002117156982,1
409.6,25.6,2,0,1.2989997863769531,1
409.6,25.6,2,0,1.192000150680542,1
307.20000000000005,25.6,2,0,0.943000078201294,1
409.6,25.6,2,0,0.9049999713897705,1
307.20000000000005,25.6,2,0,1.2599999904632568,1
204.8,25.6,2,0,1.0920000076293945,1
307.20000000000005,25.6,2,0,1.3589999675750732,1
409.6,25.6,1.33,1,1.6359999179840088,1
204.8,25.6,1.33,1,1.0499999523162842,1
307.20000000000005,25.6,1.33,1,1.129000186920166,1
204.8,25.6,1.33,1,1.0479998588562012,1
307.20000000000005,25.6,1.33,1,0.9249999523162842,1
307.20000000000005,25.6,1.33,1,0.9600000381469727,1
409.6,25.6,1.33,1,1.3889999389648438,1
409.6,25.6,1.33,1,1.2090001106262207,1
204.8,25.6,1.33,1,0.999000072479248,1
204.8,25.6,1.33,0.5,1.2269999980926514,1
409.6,25.6,1.33,0.5,1.2200000286102295,1
409.6,25.6,1.33,0.5,0.8399999141693115,1
204.8,25.6,1.33,0.5,0.8629999160766602,1
307.20000000000005,25.6,1.33,0.5,1.186000108718872,1
307.20000000000005,25.6,1.33,0.5,1.2339999675750732,1
