Bubble

A,w,eww,D,clickTime,currentNumberOfErrors
409.6,25.6,3,1,1.2599999904632568,1
409.6,25.6,3,1,0.9829998016357422,1
204.8,25.6,3,1,0.8690001964569092,1
307.20000000000005,25.6,3,1,0.9539999961853027,1
204.8,25.6,3,1,0.9749999046325684,1
409.6,25.6,3,1,0.8580000400543213,1
204.8,25.6,3,1,2.9119999408721924,1
307.20000000000005,25.6,3,1,1.3910000324249268,1
307.20000000000005,25.6,3,1,1.2739999294281006,1
409.6,25.6,3,0.5,1.0729999542236328,1
307.20000000000005,25.6,3,0.5,1.0870001316070557,1
409.6,25.6,3,0.5,1.1129999160766602,1
307.20000000000005,25.6,3,0.5,1.3350000381469727,1
204.8,25.6,3,0.5,1.1000001430511475,1
204.8,25.6,3,0.5,1.2819998264312744,1
307.20000000000005,25.6,3,0.5,0.9509999752044678,1
409.6,25.6,3,0.5,1.2780001163482666,1
204.8,25.6,3,0.5,1.1449999809265137,2
204.8,25.6,3,0,0.875,2
307.20000000000005,25.6,3,0,1.1080000400543213,2
409.6,25.6,3,0,0.9939999580383301,2
204.8,25.6,3,0,0.9000000953674316,2
307.20000000000005,25.6,3,0,0.9239997863769531,2
307.20000000000005,25.6,3,0,0.937000036239624,2
409.6,25.6,3,0,0.9170000553131104,2
409.6,25.6,3,0,0.9000000953674316,2
204.8,25.6,3,0,0.8399999141693115,2
307.20000000000005,25.6,2,1,0.8340001106262207,2
204.8,25.6,2,1,0.8489999771118164,2
409.6,25.6,2,1,0.9340000152587891,2
204.8,25.6,2,1,1.0139999389648438,2
204.8,25.6,2,1,0.7950000762939453,2
307.20000000000005,25.6,2,1,1.0489997863769531,2
409.6,25.6,2,1,1.1000001430511475,2
307.20000000000005,25.6,2,1,0.9409999847412109,2
409.6,25.6,2,1,1.0260000228881836,2
409.6,25.6,2,0.5,1.056999921798706,2
307.20000000000005,25.6,2,0.5,1.6730000972747803,3
204.8,25.6,2,0.5,2.247999906539917,3
307.20000000000005,25.6,2,0.5,1.003999948501587,3
204.8,25.6,2,0.5,0.942000150680542,3
204.8,25.6,2,0.5,1.11899995803833,3
307.20000000000005,25.6,2,0.5,1.0499999523162842,3
409.6,25.6,2,0.5,1.130000114440918,3
409.6,25.6,2,0.5,1.0159997940063477,3
409.6,25.6,2,0,1.3880000114440918,3
307.20000000000005,25.6,2,0,0.8710000514984131,3
307.20000000000005,25.6,2,0,0.874000072479248,3
204.8,25.6,2,0,0.9769999980926514,3
409.6,25.6,2,0,1.0120000839233398,3
204.8,25.6,2,0,0.929999828338623,3
307.20000000000005,25.6,2,0,1.1019999980926514,3
204.8,25.6,2,0,0.7360000610351562,3
409.6,25.6,2,0,1.0369999408721924,4
307.20000000000005,25.6,1.33,1,1.124000072479248,4
307.20000000000005,25.6,1.33,1,1.1180000305175781,5
409.6,25.6,1.33,1,1.2820000648498535,5
307.20000000000005,25.6,1.33,1,1.1009998321533203,5
409.6,25.6,1.33,1,1.3359999656677246,5
204.8,25.6,1.33,1,0.9240000247955322,5
204.8,25.6,1.33,1,1.1400001049041748,5
204.8,25.6,1.33,1,1.1689999103546143,5
409.6,25.6,1.33,1,1.123000144958496,6
